record_max_temp_year,COUNT of record_max_temp_year
,0
1871,1
1872,4
1874,2
1875,4
1876,2
1877,3
1878,1
1879,7
1880,3
1881,9
1883,3
1884,2
1886,1
1887,8
1888,6
1889,7
1890,9
1891,5
1892,2
1893,3
1894,3
1895,16
1896,18
1897,10
1898,2
1899,5
1900,13
1901,5
1902,4
1904,3
1905,2
1906,5
1907,12
1908,2
1909,2
1910,6
1911,12
1912,3
1913,4
1914,4
1915,6
1916,9
1917,5
1918,11
1919,4
1920,2
1921,10
1922,4
1923,4
1924,4
1925,34
1926,6
1927,16
1928,4
1929,14
1930,36
1931,17
1932,8
1933,15
1934,34
1935,8
1936,36
1937,11
1938,14
1939,36
1940,14
1941,32
1942,22
1943,15
1944,9
1945,19
1946,10
1947,21
1948,23
1949,26
1950,56
1951,29
1952,24
1953,40
1954,52
1955,21
1956,30
1957,21
1958,13
1959,13
1960,10
1961,23
1962,33
1963,21
1964,9
1965,10
1966,7
1967,24
1968,13
1969,2
1970,20
1971,25
1972,19
1973,12
1974,29
1975,21
1976,13
1977,21
1978,9
1979,4
1980,13
1981,17
1982,19
1983,23
1984,20
1985,21
1986,33
1987,17
1988,36
1989,34
1990,73
1991,35
1992,16
1993,9
1994,7
1995,15
1996,7
1997,9
1998,29
1999,34
2000,22
2001,30
2002,26
2003,19
2004,7
2005,9
2006,16
2007,38
2008,18
2009,13
2010,29
2011,33
2012,47
2013,21
2014,9
2015,9